LID;LAND;PLZ;EU
1;AUSTRALIA;AUS;0
2;AUSTRIA;A;1
3;BELGIUM;B;1
4;BULGARIA;BG;0
5;CANADA;CDN;0
6;CHINA;RC;0
8;DENMARK;DK;1
9;ENGLAND;GB;1
10;FINLAND;FIN;1
11;FRANCE;F;1
12;GERMANY;D;1
13;GREECE;GR;1
14;HUNGARY;H;1
15;ITALY;I;1
16;JAPAN;J;0
17;KROATIEN;HR;0
18;NETHERLANDS;NL;1
19;NORWAY;N;0
20;POLAND;PL;1
21;SCHWEDEN;S;1
22;SCHWEIZ;CH;0
23;SLOVAKISCHE REPUBLIK;SK;1
24;SLOVENIA;SLO;1
25;SPANIEN;E;1
26;TSCHECHISCHE REPUBLIK;CZ;1
27;TURKEY;TR;0
29;USA;USA;0
30;YUGOSLAWIA;YU;0
31;NEPAL;;0
32;BOSNIEN-HERZIGOVINA;BH;0
33;ALBANIEN;AL;0
34;RUSSIA;RUS;0
36;INDONESIA;;0
37;BELARUS;BY;0
38;UNITED KINGDOM;UK;1
39;SÜDTIROL/ITALIEN;I;1
